"","rf.tprs","rf.fprs","svm.tprs","svm.fprs","lr.tprs","lr.fprs"
"1",1,1,1,1,1,1
"2",0.999463452887036,0.326001571091909,0.99938090717735,0.585624509033778,1,0.999895260539408
"3",0.999174542903133,0.264886095836606,0.999257088612819,0.486776643100288,1,0.999816705943964
"4",0.999174542903133,0.264886095836606,0.999133270048289,0.445404556166536,1,0.998743126472899
"5",0.998803087209542,0.240219952867243,0.999050724338603,0.423723487824038,1,0.992642052893428
"6",0.998803087209542,0.240219952867243,0.998926905774072,0.407803089814087,1,0.980727939251113
"7",0.998761814354699,0.226656192720607,0.998720541499856,0.386095836606441,1,0.963655407174653
"8",0.998761814354699,0.226656192720607,0.998679268645012,0.35833987954962,1,0.94548311076198
"9",0.998679268645012,0.218146111547526,0.998555450080482,0.331474207907829,1,0.928305839224928
"10",0.998679268645012,0.218146111547526,0.998390358661109,0.308064938465567,1,0.912018853102907
"11",0.998514177225639,0.210683424980361,0.998266540096578,0.28955223880597,1,0.89732914375491
"12",0.998514177225639,0.210683424980361,0.998266540096578,0.274862529457973,1,0.883922492799162
"13",0.998472904370795,0.205394082220477,0.998183994386892,0.262058130400628,1,0.870437287247971
"14",0.998472904370795,0.205394082220477,0.998142721532048,0.251662738936894,1,0.857083006022519
"15",0.998266540096578,0.200340403246923,0.998060175822362,0.243414506415292,1,0.842733699921445
"16",0.998266540096578,0.200340403246923,0.998018902967518,0.235323383084577,1,0.827755957056821
"17",0.998142721532048,0.195784236711181,0.997853811548145,0.229091385179366,1,0.812045037968054
"18",0.998142721532048,0.195784236711181,0.997688720128771,0.223775857554334,1,0.796019900497512
"19",0.998018902967518,0.192825346949463,0.997647447273928,0.218224666142969,0.999917454290313,0.777952343545431
"20",0.998018902967518,0.192825346949463,0.997564901564241,0.213432835820896,0.999917454290313,0.761377323906782
"21",0.997812538693301,0.189185650693899,0.997399810144868,0.208719560094266,0.999917454290313,0.744147682639434
"22",0.997812538693301,0.189185650693899,0.997275991580338,0.204425242210003,0.999917454290313,0.72752029327049
"23",0.997606174419085,0.186488609583661,0.997234718725494,0.200445142707515,0.999917454290313,0.710919088766693
"24",0.997606174419085,0.186488609583661,0.997152173015807,0.196884001047395,0.999917454290313,0.694789211835559
"25",0.997482355854554,0.183215501440168,0.997110900160964,0.193715632364493,0.999917454290313,0.678790259230165
"26",0.997482355854554,0.183215501440168,0.997110900160964,0.190652003142184,0.99987618143547,0.663550667714061
"27",0.997358537290024,0.180701754385965,0.997069627306121,0.188164440953129,0.99987618143547,0.64802304268133
"28",0.997358537290024,0.180701754385965,0.996987081596434,0.185755433359518,0.99987618143547,0.634459282534695
"29",0.997275991580338,0.178921183555905,0.996904535886747,0.183896307934014,0.999834908580627,0.620686043466876
"30",0.997275991580338,0.178921183555905,0.996904535886747,0.181932443047918,0.999793635725783,0.60649384655669
"31",0.997110900160964,0.176931133804661,0.996780717322217,0.18025661167845,0.999793635725783,0.593846556690233
"32",0.997110900160964,0.176931133804661,0.99669817161253,0.178711704634721,0.99975236287094,0.581120712228332
"33",0.996987081596434,0.175124378109453,0.996656898757687,0.176931133804661,0.999711090016096,0.568394867766431
"34",0.996987081596434,0.175124378109453,0.996615625902844,0.175098193244305,0.999711090016096,0.556637863315004
"35",0.996863263031904,0.173108143493061,0.996409261628627,0.173684210526316,0.99962854430641,0.545247446975648
"36",0.996863263031904,0.173108143493061,0.996367988773784,0.172034564021995,0.999587271451566,0.535637601466352
"37",0.996780717322217,0.171379942393297,0.996244170209253,0.170620581304006,0.99950472574188,0.525032731081435
"38",0.996780717322217,0.171379942393297,0.99620289735441,0.169416077507201,0.999422180032193,0.515187221785808
"39",0.996656898757687,0.169730295888976,0.996120351644723,0.1681592039801,0.99938090717735,0.505786855197696
"40",0.996656898757687,0.169730295888976,0.995996533080193,0.16687614558785,0.999298361467663,0.49706729510343
"41",0.996533080193157,0.168473422361875,0.995913987370506,0.165907305577376,0.999215815757976,0.488033516627389
"42",0.996533080193157,0.168473422361875,0.99583144166082,0.164676616915423,0.999174542903133,0.48012568735271
"43",0.996491807338314,0.167268918565069,0.99570762309629,0.163367373658026,0.999174542903133,0.471379942393297
"44",0.996491807338314,0.167268918565069,0.995501258822073,0.162450903377848,0.999091997193446,0.464676616915423
"45",0.99632671591894,0.166090599633412,0.995377440257543,0.161586802827965,0.998968178628916,0.457947106572401
"46",0.99632671591894,0.166090599633412,0.995212348838169,0.160617962817491,0.998968178628916,0.451191411364231
"47",0.99620289735441,0.16509557475779,0.995212348838169,0.159596753076722,0.998968178628916,0.444907043728725
"48",0.99620289735441,0.16509557475779,0.995129803128482,0.158706467661692,0.998968178628916,0.438308457711443
"49",0.99607907878988,0.163655407174653,0.995005984563952,0.157973291437549,0.998968178628916,0.432128829536528
"50",0.99607907878988,0.163655407174653,0.994799620289735,0.157240115213407,0.998926905774072,0.426132495417649
"51",0.996037805935037,0.162634197433883,0.994634528870362,0.156506938989264,0.998844360064386,0.42063367373658
"52",0.996037805935037,0.162634197433883,0.994551983160675,0.155721393034826,0.998844360064386,0.415475255302435
"53",0.995996533080193,0.161377323906782,0.994428164596145,0.15490966221524,0.998720541499856,0.410054988216811
"54",0.995996533080193,0.161377323906782,0.994304346031615,0.154124116260801,0.998637995790169,0.405079863838701
"55",0.995996533080193,0.160120450379681,0.994180527467085,0.153443309766955,0.998637995790169,0.400104739460592
"56",0.995996533080193,0.160120450379681,0.994180527467085,0.152971982194292,0.998472904370795,0.395208169677926
