"","-1","1","MeanDecreaseAccuracy","MeanDecreaseGini","N"
"ndai",759.288001065688,89.2792236020953,233.766857229791,10406.8450696159,1
"corr",54.4029903337974,124.923104186949,75.5672848891209,6237.16377757666,1
"df",71.9550138720669,108.73450459274,89.8296461115733,3127.5939962928,1
"ndai",698.420569135723,76.6380847563041,206.882487135719,10253.2240883319,2
"corr",52.7946925363666,116.653618105933,73.7810969338793,6375.61213800038,2
"df",81.4268045190581,115.872406936269,102.488196976761,3148.81732090172,2
"ndai",675.443902044565,81.3889100432181,215.347650222219,10425.4845021389,3
"corr",56.7520647000894,112.688760377697,77.1517934951344,6246.08847996003,3
"df",70.2003689865495,106.007899073173,86.4690006181911,3098.78071706487,3
"ndai",745.415842189231,95.4686894531988,245.401206227922,10269.6079880127,4
"corr",55.4108781751796,120.943072264835,81.5110594513591,6308.08970992688,4
"df",68.63769984328,118.005882247838,88.3693511910786,3257.69351652395,4
"ndai",731.096834429019,94.8322555363277,246.499609444785,10277.7205922952,5
"corr",56.9353024043899,125.890215153523,78.1796118336272,6353.3045621578,5
"df",81.993052965825,104.314771637941,99.0750155580284,3160.0451477733,5
"ndai",741.854966520553,93.0488074137002,232.825694821798,10136.9467790701,6
"corr",54.9755318841664,123.341006496479,78.986215747541,6503.63417027303,6
"df",68.7325702215849,112.676798083309,87.3959314225287,3095.92212412467,6
"ndai",728.736391184799,72.2351670663952,204.163829944741,10117.9997410217,7
"corr",58.4318691175143,115.698570774462,78.6346886944357,6341.20078954555,7
"df",76.0357040007105,112.690383646351,94.6839984647387,3301.26690036837,7
"ndai",805.177515396084,87.9715860060286,233.748917938998,10243.3470406463,8
"corr",61.298573104537,112.834767795743,82.4408201853221,6366.88143726311,8
"df",71.9302247221596,96.8233670004135,89.1199751295275,3192.83517884872,8
"ndai",750.299420729419,91.2112213900827,237.105192783372,9861.27870471399,9
"corr",60.8978294018521,125.000323030438,85.1143724702408,6676.92227149186,9
"df",79.7097816390414,101.183313502278,97.5448420306186,3195.35320429381,9
"ndai",824.604763317384,78.405581603548,210.95604074993,10430.2220908254,10
"corr",54.3373062840153,128.86266562221,73.3599597134188,6291.31391107907,10
"df",79.0696431476378,113.195788296443,99.5978345529765,3112.05808363003,10
"ndai",716.801463453294,84.9644252232687,227.239332304168,9902.26932345828,11
"corr",57.0053375483498,119.584530268523,77.8123768803554,6671.06735670038,11
"df",76.260024417758,116.254433226712,93.6219140159463,3216.47290914465,11
"ndai",741.926869429018,73.7282538494472,201.775501113183,10000.9240373259,12
"corr",54.9261071701885,134.837368228313,75.9999796115085,6552.76939302939,12
"df",77.9918715724754,110.673300904919,96.3920655979986,3168.76185870317,12
"ndai",759.562386523751,71.9536156715983,193.53957131674,10312.0896977,13
"corr",52.3138249852503,127.479369324376,71.9206739457732,6229.74951885225,13
"df",74.3471760096849,116.480470197182,92.6148468237178,3235.3793814415,13
"ndai",697.013129382904,72.7269284478827,196.020487206838,10229.2798523609,14
"corr",53.3583202343097,110.633116319902,74.5430824974625,6359.38300734856,14
"df",76.3248066961952,109.985231009004,94.3948612445366,3167.95727077367,14
"ndai",750.280183506951,110.942723545624,275.259246651633,10490.6459120787,15
"corr",61.6832093102463,106.706759002808,89.0302726340529,6153.22216965652,15
"df",69.0903398630914,98.4639004930055,86.2774347997589,3156.03577506278,15
"ndai",687.107868697998,79.6857780535958,212.026640373527,10165.0994838355,16
"corr",52.3556607941997,114.760550597325,73.1791560921161,6463.8100527327,16
"df",78.7297133011536,98.3530044264105,95.206771857328,3162.57446371178,16
"ndai",749.359447375024,93.8337724368617,246.356620844562,10394.8800686877,17
"corr",59.2142219009244,123.033727782929,83.3161419867522,6430.2844009253,17
"df",79.142275076498,98.6145258577404,96.1318534263305,3031.94359799964,17
"ndai",771.307732961138,74.5482786096978,205.349235211655,10188.2235755475,18
"corr",58.463229069558,123.768673311084,80.0541093187841,6369.74045518787,18
"df",79.406597161831,116.070447698388,98.346737465517,3196.99168207852,18
"ndai",722.450513412422,71.454475267059,190.541944818187,10180.0108018623,19
"corr",51.8855520842003,127.140844749297,72.4051811230667,6496.63682967669,19
"df",75.5050697134037,109.395389076779,94.1292357580282,3128.75537233807,19
"ndai",729.921457374363,88.6530907542364,230.616012906727,10251.347054196,20
"corr",56.9564390554335,137.758729318497,81.8260716300772,6339.28918895209,20
"df",74.3716054948074,111.543921761661,92.6123858365376,3145.38341829833,20
"ndai",674.6465495975,79.2552731593481,209.191383980817,10087.6463798203,21
"corr",51.0288114300135,131.637533832988,72.673828566665,6521.33579980608,21
"df",79.2091669041879,117.659961707537,99.9168799697824,3181.7750154885,21
"ndai",786.927527527686,71.2635013566464,201.822010159171,9940.91219208434,22
"corr",63.4494033577154,118.298449979963,82.2116003281685,6597.18383382197,22
"df",78.7067794550117,107.87534114604,97.9465382115725,3199.14592821918,22
"ndai",777.528735522904,89.7331660187779,234.677865886418,10356.7096913136,23
"corr",53.9271446370538,120.943651502182,76.4544988379392,6266.36025122609,23
"df",82.2148556938834,115.917891442865,107.447533413642,3153.78331916777,23
"ndai",736.916755316606,91.4508744022713,238.425068399256,10207.3648599525,24
"corr",58.0078587197194,125.680591097556,80.7047631293731,6347.10546463395,24
"df",85.8210628194343,108.586026747899,105.594355444278,3149.32009597859,24
"ndai",722.360463008867,89.0863543304729,239.935476514552,10126.9152371657,25
"corr",60.9937535237033,127.511364748192,86.7970358824823,6404.47279576869,25
"df",75.6429446785193,109.039728663327,92.2951999100083,3140.30988722896,25
"ndai",695.586392048945,88.0591660862316,228.496712364247,10051.83716853,26
"corr",53.8347539141478,127.369756955474,74.6004706803806,6565.94721457606,26
"df",69.2806533688378,103.446011645544,84.4231399558128,3215.67775356522,26
"ndai",756.020100608248,87.3488703762182,230.648761238941,10633.0308575126,27
"corr",56.2770497302335,121.000504670442,78.7159025314728,6152.57661304484,27
"df",69.0410753231878,103.922999534374,85.2087266321611,3067.1140051355,27
"ndai",750.669028217034,79.8811731521524,214.471561347678,10281.4600529991,28
"corr",55.1555157984542,115.96519840721,76.4217286942842,6331.28115876195,28
"df",80.6339387226942,132.456051437038,101.635881503818,3200.54954924683,28
"ndai",776.304270643799,94.3744678751856,236.896031395697,10094.9302805726,29
"corr",56.3400601363063,132.525265632149,80.708936488393,6505.52572186745,29
"df",74.4590323080392,109.907283300809,95.1006470965226,3205.85054174299,29
"ndai",762.722601087052,80.6024582659815,210.803867328164,10060.2126964197,30
"corr",59.8259337946763,125.272106908979,82.6739624323236,6488.43960039478,30
"df",76.18765309326,115.36085285386,95.3267335805076,3248.50419379972,30
